csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,53,"Query{op=P, rect=(-73.99143..-73.98518),(40.751904..40.75503), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,31837,27151,913,745,0,232695,0.543959681,"{null={17=Stats{count=963790, mean=13.42569859079076, populationStandardDeviation=11.08163724441027, min=0.0, max=395.5}, 12=Stats{count=963790, mean=11.055091150609151, populationStandardDeviation=8.95040614822594, min=0.0, max=395.0}}}","{17=1.2939554044818226E7, 12=1.0654786300045593E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,54,"Query{op=P, rect=(-73.99081..-73.98456),(40.751904..40.75503), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,32137,27376,911,664,0,36622,0.102068698,"{null={17=Stats{count=1058253, mean=13.46176366959222, populationStandardDeviation=11.140020670557185, min=0.0, max=495.5}, 12=Stats{count=1058253, mean=11.067979320672356, populationStandardDeviation=8.977103575062253, min=0.0, max=395.0}}}","{17=1.4245951788636975E7, 12=1.1712722320039483E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,55,"Query{op=P, rect=(-73.991615..-73.98537),(40.751904..40.75503), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,32325,27517,981,760,0,90367,0.208495132,"{null={17=Stats{count=960755, mean=13.394335396453108, populationStandardDeviation=10.98667624187537, min=0.0, max=395.5}, 12=Stats{count=960755, mean=11.038154430673561, populationStandardDeviation=8.880727528819891, min=0.0, max=395.0}}}","{17=1.2868674703819307E7, 12=1.0604962060041778E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,56,"Query{op=P, rect=(-73.990616..-73.98437),(40.751404..40.75453), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,32905,27952,876,763,0,248263,0.534418984,"{null={17=Stats{count=1129640, mean=13.557203253299507, populationStandardDeviation=11.255559865642656, min=0.0, max=495.5}, 12=Stats{count=1129640, mean=11.162554902485194, populationStandardDeviation=9.07943212364891, min=0.0, max=395.0}}}","{17=1.5314759083057255E7, 12=1.2609668520043375E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,57,"Query{op=P, rect=(-73.991806..-73.98556),(40.751404..40.75453), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,33401,28324,1035,905,0,163973,0.354436982,"{null={17=Stats{count=959911, mean=13.367138414855903, populationStandardDeviation=10.88237718516451, min=0.0, max=395.5}, 12=Stats{count=959911, mean=11.041249042916728, populationStandardDeviation=8.817762287442378, min=0.0, max=395.0}}}","{17=1.2831263202942746E7, 12=1.059861641003524E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,58,"Query{op=P, rect=(-73.991806..-73.98556),(40.750935..40.754063), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,33921,28714,1070,940,0,401765,0.832322954,"{null={17=Stats{count=1136337, mean=13.160827954264361, populationStandardDeviation=10.45991379143784, min=0.0, max=395.5}, 12=Stats{count=1136337, mean=10.92890487596559, populationStandardDeviation=8.516983961950503, min=0.0, max=395.0}}}","{17=1.4955135755064901E7, 12=1.2418918980040109E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,59,"Query{op=P, rect=(-73.992615..-73.98637),(40.750935..40.754063), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,34437,29101,893,798,0,301913,0.556958361,"{null={17=Stats{count=1045855, mean=13.09698701840402, populationStandardDeviation=10.070038829778246, min=0.0, max=395.5}, 12=Stats{count=1045855, mean=10.90377154579225, populationStandardDeviation=8.24880093108597, min=0.0, max=395.0}}}","{17=1.3697549358132936E7, 12=1.1403763990024554E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,60,"Query{op=P, rect=(-73.993805..-73.98756),(40.750935..40.754063), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,34913,29458,784,677,0,788359,1.407982051,"{null={17=Stats{count=1269757, mean=13.37316235110663, populationStandardDeviation=10.315601291963036, min=0.009999999776482582, max=395.5}, 12=Stats{count=1269757, mean=11.169123131461264, populationStandardDeviation=8.49640634798321, min=0.0, max=395.0}}}","{17=1.69806665074541E7, 12=1.418207228003486E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,61,"Query{op=P, rect=(-73.993805..-73.98756),(40.75031..40.753437), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,35453,29863,923,858,0,1029070,1.801227821,"{null={17=Stats{count=1554823, mean=13.21290099352307, populationStandardDeviation=9.934587138652828, min=0.009999999776482582, max=384.5}, 12=Stats{count=1554823, mean=11.112655401951452, populationStandardDeviation=8.232739522373073, min=0.0, max=322.8399963378906}}}","{17=2.054372236145252E7, 12=1.727821221002836E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,62,"Query{op=P, rect=(-73.99312..-73.98687),(40.75031..40.753437), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,35813,30133,1177,1085,0,619406,1.244585301,"{null={17=Stats{count=1499603, mean=13.092851407831725, populationStandardDeviation=9.8629203109523, min=0.009999999776482582, max=353.29998779296875}, 12=Stats{count=1499603, mean=10.999115832671176, populationStandardDeviation=8.145172998155633, min=0.0, max=322.8399963378906}}}","{17=1.963407924973868E7, 12=1.6494307100021195E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,63,"Query{op=P, rect=(-73.993744..-73.987495),(40.749996..40.753124), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,36253,30463,785,699,0,967542,1.990165633,"{null={17=Stats{count=2054441, mean=13.231420606964585, populationStandardDeviation=9.665778836109517, min=0.009999999776482582, max=466.70001220703125}, 12=Stats{count=2054441, mean=11.171745097589337, populationStandardDeviation=8.023638030039256, min=0.0, max=380.010009765625}}}","{17=2.7183172983192928E7, 12=2.2951691170036536E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,64,"Query{op=P, rect=(-73.992935..-73.98669),(40.749996..40.753124), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,36709,30805,540,429,0,760931,1.446749561,"{null={17=Stats{count=2007624, mean=13.13384756925297, populationStandardDeviation=9.631040776453897, min=0.009999999776482582, max=466.70001220703125}, 12=Stats{count=2007624, mean=11.073879441583589, populationStandardDeviation=7.963143472690457, min=0.0, max=380.010009765625}}}","{17=2.6367827592373922E7, 12=2.223218614002981E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,65,"Query{op=P, rect=(-73.993935..-73.987686),(40.749996..40.753124), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,37037,31051,1056,903,0,804932,1.459738044,"{null={17=Stats{count=2099409, mean=13.293214149678189, populationStandardDeviation=9.711768596818487, min=0.009999999776482582, max=466.70001220703125}, 12=Stats{count=2099409, mean=11.222321953483057, populationStandardDeviation=8.062151562960375, min=0.0, max=380.010009765625}}}","{17=2.7907893424761735E7, 12=2.356024371003991E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,66,"Query{op=P, rect=(-73.992744..-73.986496),(40.75059..40.75372), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,37577,31456,1124,987,0,72649,0.159962093,"{null={17=Stats{count=1253257, mean=13.017508988762533, populationStandardDeviation=9.889112912263107, min=0.0, max=395.5}, 12=Stats{count=1253257, mean=10.890157302147166, populationStandardDeviation=8.134824390714094, min=0.0, max=395.0}}}","{17=1.6314284262729565E7, 12=1.3648165870017052E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,67,"Query{op=P, rect=(-73.992744..-73.986496),(40.750248..40.753376), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,38053,31813,795,579,0,102155,0.230571294,"{null={17=Stats{count=1551908, mean=13.089992165759943, populationStandardDeviation=9.868586684573026, min=2.5, max=353.29998779296875}, 12=Stats{count=1551908, mean=10.994725015927662, populationStandardDeviation=8.138244560508603, min=0.0, max=322.8399963378906}}}","{17=2.031446356198018E7, 12=1.7062801710018266E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,68,"Query{op=P, rect=(-73.991684..-73.985435),(40.75078..40.753906), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,38521,32164,1638,1471,0,93516,0.208123065,"{null={17=Stats{count=1262541, mean=13.132845894730009, populationStandardDeviation=10.38773843245208, min=0.0, max=395.5}, 12=Stats{count=1262541, mean=10.923900000116342, populationStandardDeviation=8.469777038571591, min=0.0, max=395.0}}}","{17=1.658075638877832E7, 12=1.3791871630046887E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,69,"Query{op=ZO, rect=(-73.994804..-73.98231),(40.749214..40.75547), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,39881,33184,1637,1504,0,3757176,7.194589856,"{null={17=Stats{count=7270425, mean=13.740972460146306, populationStandardDeviation=10.453043775788244, min=0.0, max=495.5}, 12=Stats{count=7270425, mean=11.496904750440699, populationStandardDeviation=8.566576500142256, min=0.0, max=400.0}}}","{17=9.990270969855921E7, 12=8.358738372022282E7}"
