csv,errorBound,initMode,initCatBudget (Gb),initCatBudget (nodes),binCount,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,10,"Query{rect=(-73.99599..-73.97269),(40.716908..40.734386), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,15410,14833,3105,2622,0,723980,7.329685534,"{null=Stats{count=13356566, mean=11.634893265992703, populationStandardDeviation=7.682930601507379, min=0.0, max=400.0}}",1.554022198101871E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,11,"Query{rect=(-73.998314..-73.97501),(40.71516..40.73264), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,16442,15607,2311,2126,0,1688834,11.877088515,"{null=Stats{count=13449463, mean=11.756277336140807, populationStandardDeviation=7.670017069666827, min=0.0, max=400.0}}",1.5811561705016434E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,12,"Query{rect=(-73.99599..-73.97269),(40.713413..40.730892), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,16938,15979,2391,2136,0,346777,4.845195148,"{null=Stats{count=10453147, mean=11.911148183424885, populationStandardDeviation=7.7345880822068604, min=0.0, max=400.0}}",1.2450898290012328E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,13,"Query{rect=(-73.998314..-73.97501),(40.71516..40.73264), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,17626,16495,3200,2940,0,1339785,10.764013062,"{null=Stats{count=13449463, mean=11.756277336141098, populationStandardDeviation=7.670017069667252, min=0.0, max=400.0}}",1.5811561705016825E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,14,"Query{rect=(-74.00064..-73.97734),(40.713413..40.730892), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,18306,17005,3243,3061,0,435050,5.570925801,"{null=Stats{count=13564087, mean=11.92501806130881, populationStandardDeviation=7.699164209137745, min=0.0, max=400.0}}",1.6175198246016404E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,15,"Query{rect=(-74.00297..-73.97967),(40.713413..40.730892), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,19282,17737,3451,3289,0,2243949,14.320029519,"{null=Stats{count=14556696, mean=11.908257971460815, populationStandardDeviation=7.714648625142094, min=0.0, max=400.0}}",1.7334489118013176E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,16,"Query{rect=(-74.005295..-73.981995),(40.71516..40.73264), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,20662,18772,4340,4078,0,3205891,18.137502802,"{null=Stats{count=17304159, mean=11.81630999230731, populationStandardDeviation=7.805355794962709, min=0.0, max=400.0}}",2.0447130690017447E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,17,"Query{rect=(-74.005295..-73.981995),(40.713413..40.730892), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,21334,19276,4585,4310,0,1578073,11.704313001,"{null=Stats{count=15500645, mean=11.944681458105, populationStandardDeviation=7.815453747908574, min=0.0, max=400.0}}",1.8515026692016798E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,18,"Query{rect=(-74.00297..-73.97967),(40.713413..40.730892), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,22238,19954,5022,4614,0,730095,7.833513325,"{null=Stats{count=14556696, mean=11.908257971461328, populationStandardDeviation=7.714648625142026, min=0.0, max=400.0}}",1.7334489118013924E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,19,"Query{rect=(-74.00297..-73.97967),(40.71516..40.73264), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,23181,20662,6096,5591,0,490405,6.269683212,"{null=Stats{count=16308523, mean=11.776825876270697, populationStandardDeviation=7.712800325318231, min=0.0, max=400.0}}",1.9206263567015582E8
