csv,errorBound,initMode,initCatBudget (Gb),initCatBudget (nodes),binCount,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,54,"Query{rect=(535.0..565.0),(398.0..428.0), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15847,14701,600,529,0,7235,0.200938473,"{null=Stats{count=89884, mean=499.91856269968025, populationStandardDeviation=289.11131706508064, min=0.011048000305891037, max=999.9813842773438}}",4.493468008969806E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,55,"Query{rect=(530.5..560.5),(393.5..423.5), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15911,14749,581,496,0,16505,0.463014983,"{null=Stats{count=89874, mean=498.8318047979975, populationStandardDeviation=289.49405919118055, min=8.340000058524311E-4, max=999.9656372070312}}",4.483200962441523E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,56,"Query{rect=(534.4..564.4),(393.5..423.5), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15911,14749,625,529,0,7271,0.213506465,"{null=Stats{count=89946, mean=499.4204091089543, populationStandardDeviation=289.3943612744306, min=0.003089000005275011, max=999.9813842773438}}",4.4920868117714E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,57,"Query{rect=(528.7..558.7),(393.5..423.5), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15927,14761,579,506,0,17299,0.482774263,"{null=Stats{count=89902, mean=499.04470892620094, populationStandardDeviation=289.6161610032321, min=8.340000058524311E-4, max=999.9727172851562}}",4.4865117421883315E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,58,"Query{rect=(522.7..552.7),(399.5..429.5), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15999,14815,477,409,0,28692,0.772334123,"{null=Stats{count=90090, mean=498.8087931301172, populationStandardDeviation=289.21012332359305, min=8.340000058524311E-4, max=999.9656372070312}}",4.493768417309225E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,59,"Query{rect=(519.4..549.4),(399.5..429.5), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,16143,14923,456,389,0,24283,0.656732134,"{null=Stats{count=90150, mean=499.1023790192095, populationStandardDeviation=289.3793497111092, min=8.340000058524311E-4, max=999.9396362304688}}",4.4994079468581736E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,60,"Query{rect=(516.4..546.4),(402.5..432.5), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,16199,14965,444,408,0,21083,0.553180024,"{null=Stats{count=90387, mean=498.85235510292074, populationStandardDeviation=289.0995497589717, min=8.340000058524311E-4, max=999.9869995117188}}",4.50897678206877E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,61,"Query{rect=(512.5..542.5),(402.5..432.5), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,16335,15067,388,347,0,31670,0.863120718,"{null=Stats{count=90226, mean=498.86390736523356, populationStandardDeviation=289.145987286826, min=8.340000058524311E-4, max=999.9869995117188}}",4.501049490593556E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,62,"Query{rect=(512.5..542.5),(407.3..437.3), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,16487,15181,430,381,0,30157,0.826506751,"{null=Stats{count=90175, mean=498.89404800909995, populationStandardDeviation=288.7386662476958, min=0.0010179999517276883, max=999.9869995117188}}",4.498777077922059E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,63,"Query{rect=(512.5..542.5),(401.59998..431.59998), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,16511,15199,544,478,0,9886,0.275805402,"{null=Stats{count=90230, mean=499.2914686796395, populationStandardDeviation=289.26958063258235, min=8.340000058524311E-4, max=999.9869995117188}}",4.505106921896387E7
